username,urls,post_dates,display_picture_relative_url,captions,n_likes,n_comments,n_hashtags,n_characters,n_words,n_emojis,n_mentions,is_video
justinbieber,https://www.instagram.com/p/B2y9tHTnT2G,1569333261,./imgs/B2y9tHTnT2G.png,Drinking another mans chocolate milk that’s disrespectful I would never do that that’s not the kind of person I am,1344397,13596,0,114,20,0,0,True
justinbieber,https://www.instagram.com/p/CGQaV69H3Df,1602533512,./imgs/CGQaV69H3Df.png,📷 : @rorykramer,1908499,10204,0,15,3,1,0,False
justinbieber,https://www.instagram.com/p/CFJBt0SnFh4,1600138312,./imgs/CFJBt0SnFh4.png,Sorry @maejor @jblazeofficial and Roy bird @rorykramer,553642,2887,0,54,7,0,0,True
justinbieber,https://www.instagram.com/p/CKosQ5rnAcl,1611938156,./imgs/CKosQ5rnAcl.png,"All that matters 

🎥: @rorykramer",2182726,22631,0,33,5,1,0,True
justinbieber,https://www.instagram.com/p/BCb0l18gvtN,1456887485,./imgs/BCb0l18gvtN.png,nan,1438778,15084,0,0,0,0,0,False
justinbieber,https://www.instagram.com/p/CRF5-GDnmGs,1625803732,./imgs/CRF5-GDnmGs.png,STAY OUT NOW @thekidlaroi,2461731,27836,0,25,4,0,1,True
justinbieber,https://www.instagram.com/p/CDNWDznHLBq,1595988152,./imgs/CDNWDznHLBq.png,@austonmatthews,1016012,2860,0,15,1,0,0,False
justinbieber,https://www.instagram.com/p/B8mN95Pno6e,1581790385,./imgs/B8mN95Pno6e.png,Thank you last night to @spotify for the #houseofchanges,2482760,8270,1,56,9,0,0,False
justinbieber,https://www.instagram.com/p/COLG5FXn1jF,1619535411,./imgs/COLG5FXn1jF.png,nan,814301,8308,0,0,0,0,0,False
justinbieber,https://www.instagram.com/p/-EyGJWgvpf,1447524490,./imgs/-EyGJWgvpf.png,#PURPOSETheMovement #NoSense @travisscott,765337,5542,2,41,3,0,0,True
justinbieber,https://www.instagram.com/p/IVTb6,1311444140,./imgs/IVTb6.png,Everyone meet Rodel.,190136,4602,0,20,3,0,0,False
justinbieber,https://www.instagram.com/p/BRCVhDxD3oV,1488244586,./imgs/BRCVhDxD3oV.png,Tap out scooter,1678067,29727,0,15,3,0,0,True
justinbieber,https://www.instagram.com/p/COgyBoMnVTn,1620262669,./imgs/COgyBoMnVTn.png,📷: @rorykramer,566355,2867,0,14,2,1,0,False
justinbieber,https://www.instagram.com/p/B7PUzk1HOt6,1578874735,./imgs/B7PUzk1HOt6.png,Nothing better than wifey and I at a @mapleleafs game! Go leafs go,2418830,7214,0,66,13,0,0,False
justinbieber,https://www.instagram.com/p/BzybWoGn_Kv,1562872703,./imgs/BzybWoGn_Kv.png,@billieeilish so proud of you. Remix,4659673,36710,0,36,6,0,0,False
justinbieber,https://www.instagram.com/p/CHq2dXbn6Bi,1605568152,./imgs/CHq2dXbn6Bi.png,nan,1853911,6147,0,0,0,0,2,False
justinbieber,https://www.instagram.com/p/d0Fckbgvuu,1378244733,./imgs/d0Fckbgvuu.png,Haha,857756,26514,0,4,1,0,0,False
justinbieber,https://www.instagram.com/p/CJ9OBcBnrNq,1610479453,./imgs/CJ9OBcBnrNq.png,@domowaka comin with the type of sauce you only get on a bbq 🔥🔥 @drewhouse,735932,1918,0,74,15,2,0,False
justinbieber,https://www.instagram.com/p/CC_1ohHnUsK,1595534944,./imgs/CC_1ohHnUsK.png,Hi I’m MR PAWS .,1104607,5757,0,16,5,0,0,False
justinbieber,https://www.instagram.com/p/CWV3gQYJmpw,1637076312,./imgs/CWV3gQYJmpw.png,📷: @rorykramer,1270382,7070,0,14,2,1,0,False
justinbieber,https://www.instagram.com/p/RRyX3DAvk1,1351324080,./imgs/RRyX3DAvk1.png,.,345773,3248,0,1,1,0,0,False
justinbieber,https://www.instagram.com/p/CN0yvn2HIKk,1618786651,./imgs/CN0yvn2HIKk.png,🥰🥰🥰,6010649,28698,0,3,1,3,0,False
justinbieber,https://www.instagram.com/p/B7ElsieH4Ya,1578514491,./imgs/B7ElsieH4Ya.png,@buffmonster @takashipom @drewhouse,725431,2125,0,35,3,0,0,False
justinbieber,https://www.instagram.com/p/CUxnlkuhBuy,1633712523,./imgs/CUxnlkuhBuy.png,👻👻👻👻👻,611534,3919,0,5,1,5,0,False
justinbieber,https://www.instagram.com/p/BBIzB0_gvgs,1454101647,./imgs/BBIzB0_gvgs.png,Richies model face is priceless,1489887,12688,0,31,5,0,1,False
justinbieber,https://www.instagram.com/p/B0Z5ZQ7HJt6,1564197106,./imgs/B0Z5ZQ7HJt6.png,New language to be taught in a school near you @maejor,509623,2503,0,54,11,0,0,True
justinbieber,https://www.instagram.com/p/CRb156GHcGG,1626539381,./imgs/CRb156GHcGG.png,📷: @evanpaterakis,950240,2856,0,17,2,1,0,False
justinbieber,https://www.instagram.com/p/BEj4cKaAvoS,1461452905,./imgs/BEj4cKaAvoS.png,nan,1651206,29987,0,0,0,0,0,False
